beginning training
Iteration 4000 completed.
Training loss: 2.74390006065
Training accuracy: 0.33984375
Test loss: 2.77432594299
Test accuracy: 0.303125
Iteration 4100 completed.
Training loss: 2.85480737686
Training accuracy: 0.2734375
Test loss: 2.88160367012
Test accuracy: 0.25703125
Iteration 4200 completed.
Training loss: 3.01566743851
Training accuracy: 0.26953125
Test loss: 2.94658913612
Test accuracy: 0.253125
Iteration 4300 completed.
Training loss: 2.69837641716
Training accuracy: 0.31640625
Test loss: 2.72490000725
Test accuracy: 0.3046875
Iteration 4400 completed.
Training loss: 2.94330739975
Training accuracy: 0.27734375
Test loss: 2.7967716217
Test accuracy: 0.284375
Iteration 4500 completed.
Training loss: 2.90845870972
Training accuracy: 0.29296875
Test loss: 2.77592115402
Test accuracy: 0.30078125
Iteration 4600 completed.
Training loss: 2.9103474617
Training accuracy: 0.2734375
Test loss: 2.72282600403
Test accuracy: 0.30234375
Iteration 4700 completed.
Training loss: 2.65621757507
Training accuracy: 0.34765625
Test loss: 2.85915279388
Test accuracy: 0.28515625
Iteration 4800 completed.
Training loss: 2.91152048111
Training accuracy: 0.23046875
Test loss: 2.6000436306
Test accuracy: 0.31875
Iteration 4900 completed.
Training loss: 2.6510591507
Training accuracy: 0.34765625
Test loss: 2.70210838318
Test accuracy: 0.3078125
Iteration 5000 completed.
Training loss: 2.74869394302
Training accuracy: 0.28125
Test loss: 2.70627717972
Test accuracy: 0.32265625
Iteration 5100 completed.
Training loss: 2.60750317574
Training accuracy: 0.36328125
Test loss: 2.66319804192
Test accuracy: 0.31484375
Iteration 5200 completed.
Training loss: 2.66902256012
Training accuracy: 0.34375
Test loss: 2.58893494606
Test accuracy: 0.32890625
Iteration 5300 completed.
Training loss: 2.87097215652
Training accuracy: 0.30859375
Test loss: 2.71435647011
Test accuracy: 0.30234375
Iteration 5400 completed.
Training loss: 2.6937315464
Training accuracy: 0.3203125
Test loss: 2.74295940399
Test accuracy: 0.3171875
Iteration 5500 completed.
Training loss: 2.57303404808
Training accuracy: 0.34375
Test loss: 2.71118235588
Test accuracy: 0.33046875
Iteration 5600 completed.
Training loss: 2.78513169289
Training accuracy: 0.26953125
Test loss: 2.58534355164
Test accuracy: 0.3515625
Iteration 5700 completed.
Training loss: 2.66001558304
Training accuracy: 0.30078125
Test loss: 2.6015144825
Test accuracy: 0.34765625
Iteration 5800 completed.
Training loss: 2.61894416809
Training accuracy: 0.328125
Test loss: 2.60267186165
Test accuracy: 0.325
Iteration 5900 completed.
Training loss: 2.61263275146
Training accuracy: 0.3515625
Test loss: 2.69192910194
Test accuracy: 0.3296875
Iteration 6000 completed.
Training loss: 2.5159637928
Training accuracy: 0.3515625
Test loss: 2.56755952835
Test accuracy: 0.35078125
Iteration 6100 completed.
Training loss: 2.40095996857
Training accuracy: 0.40234375
Test loss: 2.54787793159
Test accuracy: 0.3421875
Iteration 6200 completed.
Training loss: 2.57770967484
Training accuracy: 0.33984375
Test loss: 2.51835765839
Test accuracy: 0.34765625
Iteration 6300 completed.
Training loss: 2.4163107872
Training accuracy: 0.37109375
Test loss: 2.51703248024
Test accuracy: 0.36484375
Iteration 6400 completed.
Training loss: 2.46408462524
Training accuracy: 0.375
Test loss: 2.54408140182
Test accuracy: 0.3484375
Iteration 6500 completed.
Training loss: 2.59414696693
Training accuracy: 0.33984375
Test loss: 2.55062141418
Test accuracy: 0.3390625
Iteration 6600 completed.
Training loss: 2.49340796471
Training accuracy: 0.37109375
Test loss: 2.4894557476
Test accuracy: 0.37109375
Iteration 6700 completed.
Training loss: 2.69158744812
Training accuracy: 0.328125
Test loss: 2.52045278549
Test accuracy: 0.34765625
Iteration 6800 completed.
Training loss: 2.55233287811
Training accuracy: 0.34375
Test loss: 2.56494212151
Test accuracy: 0.34921875
Iteration 6900 completed.
Training loss: 2.5561041832
Training accuracy: 0.37109375
Test loss: 2.52461228371
Test accuracy: 0.3578125
Iteration 7000 completed.
Training loss: 2.57766628265
Training accuracy: 0.35546875
Test loss: 2.56332330704
Test accuracy: 0.36640625
Iteration 7100 completed.
Training loss: 2.49692845345
Training accuracy: 0.328125
Test loss: 2.49687743187
Test accuracy: 0.346875
Iteration 7200 completed.
Training loss: 2.22096061707
Training accuracy: 0.39453125
Test loss: 2.47230401039
Test accuracy: 0.38046875
Iteration 7300 completed.
Training loss: 2.49644303322
Training accuracy: 0.3671875
Test loss: 2.46073312759
Test accuracy: 0.3609375
Iteration 7400 completed.
Training loss: 2.63189601898
Training accuracy: 0.2890625
Test loss: 2.48868956566
Test accuracy: 0.36875
Iteration 7500 completed.
Training loss: 2.41415596008
Training accuracy: 0.3828125
Test loss: 2.48489246368
Test accuracy: 0.35234375
Iteration 7600 completed.
Training loss: 2.25644016266
Training accuracy: 0.39453125
Test loss: 2.41622920036
Test accuracy: 0.36796875
Iteration 7700 completed.
Training loss: 2.22464609146
Training accuracy: 0.4453125
Test loss: 2.43694553375
Test accuracy: 0.37109375
Iteration 7800 completed.
Training loss: 2.38181233406
Training accuracy: 0.390625
Test loss: 2.4642124176
Test accuracy: 0.36015625
Iteration 7900 completed.
Training loss: 2.30230093002
Training accuracy: 0.39453125
Test loss: 2.41704058647
Test accuracy: 0.37734375
Iteration 8000 completed.
Training loss: 2.37629795074
Training accuracy: 0.37109375
Test loss: 2.43795571327
Test accuracy: 0.3796875
Iteration 8100 completed.
Training loss: 2.16329503059
Training accuracy: 0.41796875
Test loss: 2.47802147865
Test accuracy: 0.35390625
Iteration 8200 completed.
Training loss: 2.29819345474
Training accuracy: 0.40234375
Test loss: 2.51807770729
Test accuracy: 0.36796875
Iteration 8300 completed.
Training loss: 2.20001125336
Training accuracy: 0.453125
Test loss: 2.25783700943
Test accuracy: 0.403125
Iteration 8400 completed.
Training loss: 2.33497905731
Training accuracy: 0.359375
Test loss: 2.43075098991
Test accuracy: 0.3734375
Iteration 8500 completed.
Training loss: 2.23007535934
Training accuracy: 0.4296875
Test loss: 2.38160634041
Test accuracy: 0.37265625
Iteration 8600 completed.
Training loss: 2.31772422791
Training accuracy: 0.4140625
Test loss: 2.53769693375
Test accuracy: 0.353125
Iteration 8700 completed.
Training loss: 2.27608537674
Training accuracy: 0.40625
Test loss: 2.34737634659
Test accuracy: 0.37890625
Iteration 8800 completed.
Training loss: 2.16593718529
Training accuracy: 0.421875
Test loss: 2.46428833008
Test accuracy: 0.3640625
Iteration 8900 completed.
Training loss: 2.16763544083
Training accuracy: 0.41796875
Test loss: 2.41600704193
Test accuracy: 0.37734375
Iteration 9000 completed.
Training loss: 2.14269804955
Training accuracy: 0.44140625
Test loss: 2.38167233467
Test accuracy: 0.3890625
Iteration 9100 completed.
Training loss: 2.30261468887
Training accuracy: 0.3828125
Test loss: 2.29496884346
Test accuracy: 0.40390625
Iteration 9200 completed.
Training loss: 2.10628080368
Training accuracy: 0.45703125
Test loss: 2.42786355019
Test accuracy: 0.4015625
Iteration 9300 completed.
Training loss: 2.37128591537
Training accuracy: 0.44140625
Test loss: 2.46261363029
Test accuracy: 0.39140625
Iteration 9400 completed.
Training loss: 2.19837093353
Training accuracy: 0.42578125
Test loss: 2.35248923302
Test accuracy: 0.38671875
Iteration 9500 completed.
Training loss: 2.17355203629
Training accuracy: 0.44140625
Test loss: 2.38712286949
Test accuracy: 0.38671875
Iteration 9600 completed.
Training loss: 2.40514612198
Training accuracy: 0.36328125
Test loss: 2.35293722153
Test accuracy: 0.39140625
Iteration 9700 completed.
Training loss: 2.30109739304
Training accuracy: 0.4140625
Test loss: 2.42549443245
Test accuracy: 0.37890625
Iteration 9800 completed.
Training loss: 2.19611930847
Training accuracy: 0.44140625
Test loss: 2.30855879784
Test accuracy: 0.39296875
Iteration 9900 completed.
Training loss: 2.13413667679
Training accuracy: 0.421875
Test loss: 2.34399175644
Test accuracy: 0.41015625
Iteration 10000 completed.
Training loss: 2.14949965477
Training accuracy: 0.45703125
Test loss: 2.52845883369
Test accuracy: 0.3703125
Iteration 10100 completed.
Training loss: 1.9541451931
Training accuracy: 0.515625
Test loss: 2.21270232201
Test accuracy: 0.434375
Iteration 10200 completed.
Training loss: 1.84097123146
Training accuracy: 0.47265625
Test loss: 2.28733143806
Test accuracy: 0.415625
Iteration 10300 completed.
Training loss: 1.88051748276
Training accuracy: 0.49609375
Test loss: 2.14456999302
Test accuracy: 0.43515625
Iteration 10400 completed.
Training loss: 1.79916143417
Training accuracy: 0.47265625
Test loss: 2.14662938118
Test accuracy: 0.43203125
Iteration 10500 completed.
Training loss: 1.81339740753
Training accuracy: 0.49609375
Test loss: 2.18860812187
Test accuracy: 0.43515625
Iteration 10600 completed.
Training loss: 1.98248183727
Training accuracy: 0.47265625
Test loss: 2.17924714088
Test accuracy: 0.42421875
Iteration 10700 completed.
Training loss: 1.97537195683
Training accuracy: 0.484375
Test loss: 2.14915094376
Test accuracy: 0.42265625
Iteration 10800 completed.
Training loss: 1.72503781319
Training accuracy: 0.5390625
Test loss: 2.17238793373
Test accuracy: 0.42421875
Iteration 10900 completed.
Training loss: 1.90866923332
Training accuracy: 0.484375
Test loss: 2.11030416489
Test accuracy: 0.44375
Iteration 11000 completed.
Training loss: 1.87809622288
Training accuracy: 0.51171875
Test loss: 2.26692318916
Test accuracy: 0.42890625
Iteration 11100 completed.
Training loss: 1.79812645912
Training accuracy: 0.515625
Test loss: 2.24088644981
Test accuracy: 0.42890625
Iteration 11200 completed.
Training loss: 1.83112418652
Training accuracy: 0.5078125
Test loss: 2.14418497086
Test accuracy: 0.43671875
Iteration 11300 completed.
Training loss: 1.64924514294
Training accuracy: 0.5390625
Test loss: 2.19201464653
Test accuracy: 0.4390625
Iteration 11400 completed.
Training loss: 1.73809599876
Training accuracy: 0.5234375
Test loss: 2.11295049191
Test accuracy: 0.4671875
Iteration 11500 completed.
Training loss: 1.59301185608
Training accuracy: 0.56640625
Test loss: 2.12182998657
Test accuracy: 0.44921875
Iteration 11600 completed.
Training loss: 1.85280299187
Training accuracy: 0.50390625
Test loss: 2.0814003706
Test accuracy: 0.46328125
Iteration 11700 completed.
Training loss: 1.69378352165
Training accuracy: 0.5546875
Test loss: 2.20261726379
Test accuracy: 0.4265625
Iteration 11800 completed.
Training loss: 1.85974407196
Training accuracy: 0.49609375
Test loss: 2.26366291046
Test accuracy: 0.43203125
Iteration 11900 completed.
Training loss: 1.64570486546
Training accuracy: 0.53125
Test loss: 2.09893345833
Test accuracy: 0.45
Iteration 12000 completed.
Training loss: 1.66868329048
Training accuracy: 0.56640625
Test loss: 2.15438592434
Test accuracy: 0.44296875
Iteration 12100 completed.
Training loss: 1.68407857418
Training accuracy: 0.52734375
Test loss: 2.16037564278
Test accuracy: 0.43203125
Iteration 12200 completed.
Training loss: 1.78987598419
Training accuracy: 0.5078125
Test loss: 2.16632146835
Test accuracy: 0.46171875
Iteration 12300 completed.
Training loss: 1.6212284565
Training accuracy: 0.5234375
Test loss: 2.1437151432
Test accuracy: 0.4421875
Iteration 12400 completed.
Training loss: 1.54615449905
Training accuracy: 0.546875
Test loss: 2.26942310333
Test accuracy: 0.41953125
Iteration 12500 completed.
Training loss: 1.96262967587
Training accuracy: 0.48828125
Test loss: 2.21200332642
Test accuracy: 0.43671875
Iteration 12600 completed.
Training loss: 1.67348825932
Training accuracy: 0.5625
Test loss: 2.09963760376
Test accuracy: 0.465625
Iteration 12700 completed.
Training loss: 1.52849340439
Training accuracy: 0.55859375
Test loss: 2.18214225769
Test accuracy: 0.4375
Iteration 12800 completed.
Training loss: 1.59270501137
Training accuracy: 0.55859375
Test loss: 2.10119395256
Test accuracy: 0.46015625
Iteration 12900 completed.
Training loss: 1.55165600777
Training accuracy: 0.58984375
Test loss: 2.08805565834
Test accuracy: 0.46328125
Iteration 13000 completed.
Training loss: 1.89222741127
Training accuracy: 0.49609375
Test loss: 2.25288834572
Test accuracy: 0.43828125
Iteration 13100 completed.
Training loss: 1.66135144234
Training accuracy: 0.56640625
Test loss: 2.20903229713
Test accuracy: 0.44765625
Iteration 13200 completed.
Training loss: 1.59083247185
Training accuracy: 0.55859375
Test loss: 2.21777019501
Test accuracy: 0.4328125
Iteration 13300 completed.
Training loss: 1.91780936718
Training accuracy: 0.47265625
Test loss: 2.17159380913
Test accuracy: 0.44140625
Iteration 13400 completed.
Training loss: 1.74315559864
Training accuracy: 0.5078125
Test loss: 2.16748280525
Test accuracy: 0.440625
Iteration 13500 completed.
Training loss: 1.70530605316
Training accuracy: 0.53515625
Test loss: 2.27226986885
Test accuracy: 0.453125
Iteration 13600 completed.
Training loss: 1.65285420418
Training accuracy: 0.55078125
Test loss: 2.25683813095
Test accuracy: 0.42109375
Iteration 13700 completed.
Training loss: 1.44635486603
Training accuracy: 0.640625
Test loss: 2.18576755524
Test accuracy: 0.44140625
Iteration 13800 completed.
Training loss: 1.75372004509
Training accuracy: 0.47265625
Test loss: 2.22308263779
Test accuracy: 0.44765625
Iteration 13900 completed.
Training loss: 1.65631151199
Training accuracy: 0.5546875
Test loss: 2.10467598438
Test accuracy: 0.4609375
Iteration 14000 completed.
Training loss: 1.51367986202
Training accuracy: 0.59765625
Test loss: 2.1276620388
Test accuracy: 0.44765625
Iteration 14100 completed.
Training loss: 1.69807398319
Training accuracy: 0.55078125
Test loss: 2.1560690403
Test accuracy: 0.4375
Iteration 14200 completed.
Training loss: 1.67832648754
Training accuracy: 0.515625
Test loss: 2.07767846584
Test accuracy: 0.48984375
Iteration 14300 completed.
Training loss: 1.8646697998
Training accuracy: 0.5
Test loss: 2.19363398552
Test accuracy: 0.45625
Iteration 14400 completed.
Training loss: 1.73418736458
Training accuracy: 0.51953125
Test loss: 2.12632229328
Test accuracy: 0.45234375
Iteration 14500 completed.
Training loss: 1.7488489151
Training accuracy: 0.55859375
Test loss: 2.22579455376
Test accuracy: 0.43828125
Iteration 14600 completed.
Training loss: 1.73396134377
Training accuracy: 0.48046875
Test loss: 2.12257742882
Test accuracy: 0.45703125
Iteration 14700 completed.
Training loss: 1.72371172905
Training accuracy: 0.51171875
Test loss: 2.18901405334
Test accuracy: 0.44453125
Iteration 14800 completed.
Training loss: 1.58706784248
Training accuracy: 0.5625
Test loss: 2.23119020462
Test accuracy: 0.43828125
Iteration 14900 completed.
Training loss: 1.58475375175
Training accuracy: 0.5546875
Test loss: 2.26264019012
Test accuracy: 0.434375
Iteration 15000 completed.
Training loss: 1.55608606339
Training accuracy: 0.60546875
Test loss: 2.13439798355
Test accuracy: 0.45546875
Iteration 15100 completed.
Training loss: 1.76878285408
Training accuracy: 0.5
Test loss: 2.22347311974
Test accuracy: 0.42890625
Iteration 15200 completed.
Training loss: 1.57106113434
Training accuracy: 0.52734375
Test loss: 2.22692527771
Test accuracy: 0.428125
Iteration 15300 completed.
Training loss: 1.54297530651
Training accuracy: 0.5703125
Test loss: 2.10227072239
Test accuracy: 0.484375
Iteration 15400 completed.
Training loss: 1.49179399014
Training accuracy: 0.578125
Test loss: 2.21688575745
Test accuracy: 0.453125
Iteration 15500 completed.
Training loss: 1.74579143524
Training accuracy: 0.49609375
Test loss: 2.18404488564
Test accuracy: 0.45390625
Iteration 15600 completed.
Training loss: 1.72560024261
Training accuracy: 0.51953125
Test loss: 2.10754699707
Test accuracy: 0.46484375
Iteration 15700 completed.
Training loss: 1.58426475525
Training accuracy: 0.53515625
Test loss: 2.24630422592
Test accuracy: 0.4359375
Iteration 15800 completed.
Training loss: 1.45975637436
Training accuracy: 0.5625
Test loss: 2.10078539848
Test accuracy: 0.46796875
Iteration 15900 completed.
Training loss: 1.68625688553
Training accuracy: 0.57421875
Test loss: 2.24549431801
Test accuracy: 0.44296875
Iteration 16000 completed.
Training loss: 1.48118829727
Training accuracy: 0.5546875
Test loss: 2.18436698914
Test accuracy: 0.4609375
Iteration 16100 completed.
Training loss: 1.50033855438
Training accuracy: 0.60546875
Test loss: 2.23930907249
Test accuracy: 0.45
Iteration 16200 completed.
Training loss: 1.58279299736
Training accuracy: 0.53515625
Test loss: 2.16525509357
Test accuracy: 0.44453125
Iteration 16300 completed.
Training loss: 1.67333126068
Training accuracy: 0.5390625
Test loss: 2.27086806297
Test accuracy: 0.43046875
Iteration 16400 completed.
Training loss: 1.41684889793
Training accuracy: 0.59375
Test loss: 2.12054104805
Test accuracy: 0.459375
Iteration 16500 completed.
Training loss: 1.65127015114
Training accuracy: 0.55078125
Test loss: 2.15563650131
Test accuracy: 0.44453125
Iteration 16600 completed.
Training loss: 1.33171677589
Training accuracy: 0.609375
Test loss: 2.26073989868
Test accuracy: 0.4171875
Iteration 16700 completed.
Training loss: 1.65742397308
Training accuracy: 0.56640625
Test loss: 2.31282439232
Test accuracy: 0.446875
Iteration 16800 completed.
Training loss: 1.44859671593
Training accuracy: 0.59375
Test loss: 2.19465117455
Test accuracy: 0.45078125
Iteration 16900 completed.
Training loss: 1.62189602852
Training accuracy: 0.51953125
Test loss: 2.14389517307
Test accuracy: 0.46875
Iteration 17000 completed.
Training loss: 1.7372443676
Training accuracy: 0.53125
Test loss: 2.1848698616
Test accuracy: 0.44140625
Iteration 17100 completed.
Training loss: 1.44087040424
Training accuracy: 0.5859375
Test loss: 2.23856167793
Test accuracy: 0.44921875
Iteration 17200 completed.
Training loss: 1.44877433777
Training accuracy: 0.59765625
Test loss: 2.19736509323
Test accuracy: 0.43671875
Iteration 17300 completed.
Training loss: 1.51594996452
Training accuracy: 0.6015625
Test loss: 2.27559309006
Test accuracy: 0.4484375
Iteration 17400 completed.
Training loss: 1.50305843353
Training accuracy: 0.6015625
Test loss: 2.23444724083
Test accuracy: 0.44921875
Iteration 17500 completed.
Training loss: 1.42768013477
Training accuracy: 0.60546875
Test loss: 2.19132575989
Test accuracy: 0.44765625
Iteration 17600 completed.
Training loss: 1.66959166527
Training accuracy: 0.51953125
Test loss: 2.09249613285
Test accuracy: 0.46875
Iteration 17700 completed.
Training loss: 1.61430573463
Training accuracy: 0.56640625
Test loss: 2.25114278793
Test accuracy: 0.4453125
Iteration 17800 completed.
Training loss: 1.63908743858
Training accuracy: 0.54296875
Test loss: 2.28325104713
Test accuracy: 0.41953125
Iteration 17900 completed.
Training loss: 1.34499108791
Training accuracy: 0.58984375
Test loss: 2.26113638878
Test accuracy: 0.4484375
Iteration 18000 completed.
Training loss: 1.57782673836
Training accuracy: 0.578125
Test loss: 2.23663692474
Test accuracy: 0.45703125
Iteration 18100 completed.
Training loss: 1.51569843292
Training accuracy: 0.60546875
Test loss: 2.19300317764
Test accuracy: 0.44921875
Iteration 18200 completed.
Training loss: 1.51851975918
Training accuracy: 0.58203125
Test loss: 2.17656540871
Test accuracy: 0.46171875
Iteration 18300 completed.
Training loss: 1.42527079582
Training accuracy: 0.6015625
Test loss: 2.27770433426
Test accuracy: 0.44140625
Iteration 18400 completed.
Training loss: 1.64635920525
Training accuracy: 0.55078125
Test loss: 2.23609957695
Test accuracy: 0.42421875
Iteration 18500 completed.
Training loss: 1.38458585739
Training accuracy: 0.60546875
Test loss: 2.15367057323
Test accuracy: 0.45078125
Iteration 18600 completed.
Training loss: 1.47829723358
Training accuracy: 0.56640625
Test loss: 2.32766580582
Test accuracy: 0.45390625
Iteration 18700 completed.
Training loss: 1.41710114479
Training accuracy: 0.61328125
Test loss: 2.1588353157
Test accuracy: 0.4765625
Iteration 18800 completed.
Training loss: 1.75736832619
Training accuracy: 0.55078125
Test loss: 2.24987826347
Test accuracy: 0.44375
Iteration 18900 completed.
Training loss: 1.677983284
Training accuracy: 0.5390625
Test loss: 2.2707036972
Test accuracy: 0.43359375
Iteration 19000 completed.
Training loss: 1.35921287537
Training accuracy: 0.59375
Test loss: 2.25580482483
Test accuracy: 0.44609375
Iteration 19100 completed.
Training loss: 1.30336332321
Training accuracy: 0.61328125
Test loss: 2.15488123894
Test accuracy: 0.4625
Iteration 19200 completed.
Training loss: 1.51011133194
Training accuracy: 0.5546875
Test loss: 2.41895933151
Test accuracy: 0.43984375
Iteration 19300 completed.
Training loss: 1.3864607811
Training accuracy: 0.61328125
Test loss: 2.24139966965
Test accuracy: 0.425
Iteration 19400 completed.
Training loss: 1.42674338818
Training accuracy: 0.59375
Test loss: 2.22860503197
Test accuracy: 0.446875
Iteration 19500 completed.
Training loss: 1.42490565777
Training accuracy: 0.6328125
Test loss: 2.15262725353
Test accuracy: 0.4765625
Iteration 19600 completed.
Training loss: 1.49359273911
Training accuracy: 0.58203125
Test loss: 2.20693120956
Test accuracy: 0.45546875
Iteration 19700 completed.
Training loss: 1.41019201279
Training accuracy: 0.609375
Test loss: 2.26330471039
Test accuracy: 0.43828125
Iteration 19800 completed.
Training loss: 1.53580141068
Training accuracy: 0.55078125
Test loss: 2.22057614326
Test accuracy: 0.45078125
Iteration 19900 completed.
Training loss: 1.48375606537
Training accuracy: 0.58203125
Test loss: 2.25000038147
Test accuracy: 0.4359375
Iteration 20000 completed.
Training loss: 1.3167886734
Training accuracy: 0.609375
Test loss: 2.26250269413
Test accuracy: 0.44921875
Iteration 20100 completed.
Training loss: 1.46334052086
Training accuracy: 0.54296875
Test loss: 2.24057173729
Test accuracy: 0.45234375
Iteration 20200 completed.
Training loss: 1.35084748268
Training accuracy: 0.61328125
Test loss: 2.25571732521
Test accuracy: 0.44765625
Iteration 20300 completed.
Training loss: 1.55277681351
Training accuracy: 0.5625
Test loss: 2.21526017189
Test accuracy: 0.4296875
Iteration 20400 completed.
Training loss: 1.31435763836
Training accuracy: 0.61328125
Test loss: 2.29887423515
Test accuracy: 0.45
Iteration 20500 completed.
Training loss: 1.41965889931
Training accuracy: 0.5859375
Test loss: 2.28913760185
Test accuracy: 0.4546875
Iteration 20600 completed.
Training loss: 1.22750663757
Training accuracy: 0.61328125
Test loss: 2.29711508751
Test accuracy: 0.4375
Iteration 20700 completed.
Training loss: 1.51088094711
Training accuracy: 0.57421875
Test loss: 2.24573044777
Test accuracy: 0.43515625
Iteration 20800 completed.
Training loss: 1.45382666588
Training accuracy: 0.609375
Test loss: 2.25893177986
Test accuracy: 0.45546875
Iteration 20900 completed.
Training loss: 1.31054222584
Training accuracy: 0.61328125
Test loss: 2.14795086384
Test accuracy: 0.4765625
Iteration 21000 completed.
Training loss: 1.31429207325
Training accuracy: 0.6171875
Test loss: 2.22839024067
Test accuracy: 0.45546875
Iteration 21100 completed.
Training loss: 1.24887180328
Training accuracy: 0.671875
Test loss: 2.22969784737
Test accuracy: 0.4375
Iteration 21200 completed.
Training loss: 1.2097080946
Training accuracy: 0.62109375
Test loss: 2.29657168388
Test accuracy: 0.46328125
Iteration 21300 completed.
Training loss: 1.23418974876
Training accuracy: 0.6328125
