beginning training
Training loss: 2.7548327446
Training accuracy: 0.328125
Test loss: 2.9988673687
Test accuracy: 0.2484375
Iteration 4100 completed.
Training loss: 3.06373691559
Training accuracy: 0.2578125
Test loss: 3.01916313171
Test accuracy: 0.2390625
Iteration 4200 completed.
Training loss: 3.09495687485
Training accuracy: 0.234375
Test loss: 2.97426638603
Test accuracy: 0.2484375
Iteration 4300 completed.
Training loss: 3.1065864563
Training accuracy: 0.2265625
Test loss: 2.91862840652
Test accuracy: 0.2796875
Iteration 4400 completed.
Training loss: 3.27243804932
Training accuracy: 0.21875
Test loss: 2.89770798683
Test accuracy: 0.265625
Iteration 4500 completed.
Training loss: 3.16028237343
Training accuracy: 0.2265625
Test loss: 2.97601175308
Test accuracy: 0.265625
Iteration 4600 completed.
Training loss: 3.06706905365
Training accuracy: 0.25
Test loss: 2.92272248268
Test accuracy: 0.2765625
Iteration 4700 completed.
Training loss: 3.03995990753
Training accuracy: 0.2421875
Test loss: 2.93118643761
Test accuracy: 0.259375
Iteration 4800 completed.
Training loss: 3.34796237946
Training accuracy: 0.171875
Test loss: 2.88540577888
Test accuracy: 0.26875
Iteration 4900 completed.
Training loss: 2.95742464066
Training accuracy: 0.21875
Test loss: 2.88102521896
Test accuracy: 0.2796875
Iteration 5000 completed.
Training loss: 3.22464156151
Training accuracy: 0.1953125
Test loss: 3.19302315712
Test accuracy: 0.225
Iteration 5100 completed.
Training loss: 3.01996803284
Training accuracy: 0.25
Test loss: 2.9783554554
Test accuracy: 0.2578125
Iteration 5200 completed.
Training loss: 3.31345796585
Training accuracy: 0.2265625
Test loss: 2.9929587841
Test accuracy: 0.2390625
Iteration 5300 completed.
Training loss: 3.32239079475
Training accuracy: 0.2265625
Test loss: 2.89179120064
Test accuracy: 0.259375
Iteration 5400 completed.
Training loss: 3.17263412476
Training accuracy: 0.25
Test loss: 2.90247306824
Test accuracy: 0.253125
Iteration 5500 completed.
Training loss: 3.19762945175
Training accuracy: 0.265625
Test loss: 2.89997067451
Test accuracy: 0.2609375
Iteration 5600 completed.
Training loss: 3.45734596252
Training accuracy: 0.1640625
Test loss: 2.91026997566
Test accuracy: 0.271875
Iteration 5700 completed.
Training loss: 3.03981924057
Training accuracy: 0.2578125
Test loss: 2.92284855843
Test accuracy: 0.265625
Iteration 5800 completed.
Training loss: 2.98143768311
Training accuracy: 0.21875
Test loss: 2.9444231987
Test accuracy: 0.2546875
Iteration 5900 completed.
Training loss: 2.87428545952
Training accuracy: 0.265625
Test loss: 2.9812869072
Test accuracy: 0.2578125
Iteration 6000 completed.
Training loss: 3.14923977852
Training accuracy: 0.171875
Test loss: 2.85992789268
Test accuracy: 0.3140625
Iteration 6100 completed.
Training loss: 2.94872546196
Training accuracy: 0.2578125
Test loss: 2.92500510216
Test accuracy: 0.265625
Iteration 6200 completed.
Training loss: 3.21681261063
Training accuracy: 0.2109375
Test loss: 2.82056789398
Test accuracy: 0.2921875
Iteration 6300 completed.
Training loss: 2.69845724106
Training accuracy: 0.2734375
Test loss: 2.89890079498
Test accuracy: 0.284375
Iteration 6400 completed.
Training loss: 3.16119098663
Training accuracy: 0.203125
Test loss: 2.72342128754
Test accuracy: 0.3125
Iteration 6500 completed.
Training loss: 2.7964360714
Training accuracy: 0.28125
Test loss: 2.8107656002
Test accuracy: 0.253125
Iteration 6600 completed.
Training loss: 2.97319746017
Training accuracy: 0.2265625
Test loss: 2.84162244797
Test accuracy: 0.2875
Iteration 6700 completed.
Training loss: 3.37430214882
Training accuracy: 0.1484375
Test loss: 2.89583101273
Test accuracy: 0.265625
Iteration 6800 completed.
Training loss: 3.22214126587
Training accuracy: 0.2265625
Test loss: 2.84992384911
Test accuracy: 0.2875
Iteration 6900 completed.
Training loss: 3.22734689713
Training accuracy: 0.2421875
Test loss: 2.7765455246
Test accuracy: 0.2859375
Iteration 7000 completed.
Training loss: 3.07931065559
Training accuracy: 0.1953125
Test loss: 2.76957874298
Test accuracy: 0.29375
Iteration 7100 completed.
Training loss: 2.9127240181
Training accuracy: 0.2265625
Test loss: 2.7866150856
Test accuracy: 0.2953125
Iteration 7200 completed.
Training loss: 2.99591588974
Training accuracy: 0.2578125
Test loss: 2.72506875992
Test accuracy: 0.29375
Iteration 7300 completed.
Training loss: 3.08385968208
Training accuracy: 0.2578125
Test loss: 2.84019713402
Test accuracy: 0.278125
Iteration 7400 completed.
Training loss: 2.94586205482
Training accuracy: 0.3203125
Test loss: 2.82692875862
Test accuracy: 0.29375
Iteration 7500 completed.
Training loss: 3.06343436241
Training accuracy: 0.2578125
Test loss: 2.89726448059
Test accuracy: 0.26875
Iteration 7600 completed.
Training loss: 2.99066615105
Training accuracy: 0.2734375
Test loss: 2.79984755516
Test accuracy: 0.2796875
Iteration 7700 completed.
Training loss: 2.9675154686
Training accuracy: 0.2890625
Test loss: 2.64504647255
Test accuracy: 0.303125
Iteration 7800 completed.
Training loss: 2.9347114563
Training accuracy: 0.2890625
Test loss: 2.69549975395
Test accuracy: 0.29375
Iteration 7900 completed.
Training loss: 2.78932523727
Training accuracy: 0.34375
Test loss: 2.85687522888
Test accuracy: 0.271875
Iteration 8000 completed.
Training loss: 2.82623004913
Training accuracy: 0.2890625
Test loss: 2.76557612419
Test accuracy: 0.2953125
Iteration 8100 completed.
Training loss: 2.86025619507
Training accuracy: 0.265625
Test loss: 2.69314584732
Test accuracy: 0.3109375
Iteration 8200 completed.
Training loss: 2.85350704193
Training accuracy: 0.3203125
Test loss: 2.75962162018
Test accuracy: 0.2828125
Iteration 8300 completed.
Training loss: 2.6046962738
Training accuracy: 0.328125
Test loss: 2.8538599968
Test accuracy: 0.2625
Iteration 8400 completed.
Training loss: 2.73358941078
Training accuracy: 0.3203125
Test loss: 2.84032521248
Test accuracy: 0.26875
Iteration 8500 completed.
Training loss: 2.87354588509
Training accuracy: 0.3125
Test loss: 2.77717957497
Test accuracy: 0.29375
Iteration 8600 completed.
Training loss: 2.96307039261
Training accuracy: 0.1796875
Test loss: 2.68303160667
Test accuracy: 0.3375
Iteration 8700 completed.
Training loss: 3.01540279388
Training accuracy: 0.2421875
Test loss: 2.69891366959
Test accuracy: 0.296875
Iteration 8800 completed.
Training loss: 2.73980379105
Training accuracy: 0.2890625
Test loss: 2.72551932335
Test accuracy: 0.3234375
Iteration 8900 completed.
Training loss: 2.88449501991
Training accuracy: 0.2265625
Test loss: 2.85542449951
Test accuracy: 0.2625
Iteration 9000 completed.
Training loss: 2.84298205376
Training accuracy: 0.25
Test loss: 2.7824906826
Test accuracy: 0.2625
Iteration 9100 completed.
Training loss: 2.83189296722
Training accuracy: 0.234375
Test loss: 2.63244428635
Test accuracy: 0.3
Iteration 9200 completed.
Training loss: 2.74944734573
Training accuracy: 0.328125
Test loss: 2.86509599686
Test accuracy: 0.2921875
Iteration 9300 completed.
Training loss: 3.22702312469
Training accuracy: 0.21875
Test loss: 2.665198946
Test accuracy: 0.3453125
Iteration 9400 completed.
Training loss: 2.89039564133
Training accuracy: 0.3125
Test loss: 2.83973622322
Test accuracy: 0.2953125
Iteration 9500 completed.
Training loss: 2.90847349167
Training accuracy: 0.2421875
Test loss: 2.82935857773
Test accuracy: 0.2875
Iteration 9600 completed.
Training loss: 3.14320278168
Training accuracy: 0.25
Test loss: 2.79066476822
Test accuracy: 0.30625
Iteration 9700 completed.
Training loss: 3.06667137146
Training accuracy: 0.21875
Test loss: 2.86129164696
Test accuracy: 0.30625
Iteration 9800 completed.
Training loss: 2.91060590744
Training accuracy: 0.2734375
Test loss: 2.78233475685
Test accuracy: 0.2984375
Iteration 9900 completed.
Training loss: 3.07450008392
Training accuracy: 0.25
Test loss: 2.75171751976
Test accuracy: 0.290625
Iteration 10000 completed.
Training loss: 2.64083623886
Training accuracy: 0.3125
Test loss: 2.89577431679
Test accuracy: 0.2609375
Iteration 10100 completed.
Training loss: 2.80706954002
Training accuracy: 0.28125
Test loss: 2.38325390816
Test accuracy: 0.3828125
Iteration 10200 completed.
Training loss: 2.40489387512
Training accuracy: 0.3203125
Test loss: 2.4416592598
Test accuracy: 0.3671875
Iteration 10300 completed.
Training loss: 2.34860992432
Training accuracy: 0.3828125
Test loss: 2.36294617653
Test accuracy: 0.375
Iteration 10400 completed.
Training loss: 2.57469081879
Training accuracy: 0.390625
Test loss: 2.36457195282
Test accuracy: 0.365625
Iteration 10500 completed.
Training loss: 2.17197227478
Training accuracy: 0.4296875
Test loss: 2.3513543129
Test accuracy: 0.36875
Iteration 10600 completed.
Training loss: 2.62464928627
Training accuracy: 0.328125
Test loss: 2.32028279305
Test accuracy: 0.375
Iteration 10700 completed.
Training loss: 2.57948541641
Training accuracy: 0.375
Test loss: 2.18028087616
Test accuracy: 0.4
Iteration 10800 completed.
Training loss: 2.18591976166
Training accuracy: 0.4375
Test loss: 2.28369698524
Test accuracy: 0.390625
Iteration 10900 completed.
Training loss: 2.48068761826
Training accuracy: 0.3828125
Test loss: 2.3019610405
Test accuracy: 0.384375
Iteration 11000 completed.
Training loss: 2.29739737511
Training accuracy: 0.4140625
Test loss: 2.23366568089
Test accuracy: 0.409375
Iteration 11100 completed.
Training loss: 2.25413274765
Training accuracy: 0.4453125
Test loss: 2.26928577423
Test accuracy: 0.39375
Iteration 11200 completed.
Training loss: 2.42451381683
Training accuracy: 0.375
Test loss: 2.27323637009
Test accuracy: 0.3984375
Iteration 11300 completed.
Training loss: 2.03891849518
Training accuracy: 0.4296875
Test loss: 2.24738030434
Test accuracy: 0.409375
Iteration 11400 completed.
Training loss: 2.3583521843
Training accuracy: 0.34375
Test loss: 2.19957077503
Test accuracy: 0.4265625
Iteration 11500 completed.
Training loss: 2.09975790977
Training accuracy: 0.4453125
Test loss: 2.26211433411
Test accuracy: 0.403125
Iteration 11600 completed.
Training loss: 2.3835811615
Training accuracy: 0.3671875
Test loss: 2.19886546135
Test accuracy: 0.4234375
Iteration 11700 completed.
Training loss: 2.17067861557
Training accuracy: 0.3984375
Test loss: 2.2082406044
Test accuracy: 0.4265625
Iteration 11800 completed.
Training loss: 2.53666067123
Training accuracy: 0.3125
Test loss: 2.21776781082
Test accuracy: 0.4125
Iteration 11900 completed.
Training loss: 2.162088871
Training accuracy: 0.4765625
Test loss: 2.20706415176
Test accuracy: 0.4171875
Iteration 12000 completed.
Training loss: 2.14292240143
Training accuracy: 0.4296875
Test loss: 2.27044308186
Test accuracy: 0.39375
Iteration 12100 completed.
Training loss: 2.12886810303
Training accuracy: 0.46875
Test loss: 2.34023532867
Test accuracy: 0.3921875
Iteration 12200 completed.
Training loss: 2.60549616814
Training accuracy: 0.3125
Test loss: 2.17539525032
Test accuracy: 0.40625
Iteration 12300 completed.
Training loss: 2.0776746273
Training accuracy: 0.4296875
Test loss: 2.1943921566
Test accuracy: 0.415625
Iteration 12400 completed.
Training loss: 2.06212806702
Training accuracy: 0.4140625
Test loss: 2.23209619522
Test accuracy: 0.415625
Iteration 12500 completed.
Training loss: 2.40860724449
Training accuracy: 0.3359375
Test loss: 2.25878095627
Test accuracy: 0.3875
Iteration 12600 completed.
Training loss: 2.30153226852
Training accuracy: 0.421875
Test loss: 2.14232318401
Test accuracy: 0.428125
Iteration 12700 completed.
Training loss: 2.08113241196
Training accuracy: 0.421875
Test loss: 2.21388721466
Test accuracy: 0.384375
Iteration 12800 completed.
Training loss: 1.79137527943
Training accuracy: 0.515625
Test loss: 2.11973834038
Test accuracy: 0.465625
Iteration 12900 completed.
Training loss: 2.04644036293
Training accuracy: 0.5078125
Test loss: 2.06951642036
Test accuracy: 0.4484375
Iteration 13000 completed.
Training loss: 2.34452152252
Training accuracy: 0.390625
Test loss: 2.22147989273
Test accuracy: 0.3953125
Iteration 13100 completed.
Training loss: 2.10460281372
Training accuracy: 0.40625
Test loss: 2.16074340343
Test accuracy: 0.4140625
Iteration 13200 completed.
Training loss: 2.01318740845
Training accuracy: 0.46875
Test loss: 2.1776591301
Test accuracy: 0.4125
Iteration 13300 completed.
Training loss: 2.19727325439
Training accuracy: 0.390625
Test loss: 2.04298150539
Test accuracy: 0.4453125
Iteration 13400 completed.
Training loss: 2.14136052132
Training accuracy: 0.453125
Test loss: 2.20514428616
Test accuracy: 0.4203125
Iteration 13500 completed.
Training loss: 2.42725324631
Training accuracy: 0.34375
Test loss: 2.00724198818
Test accuracy: 0.4703125
Iteration 13600 completed.
Training loss: 1.99291169643
Training accuracy: 0.46875
Test loss: 2.2454996109
Test accuracy: 0.396875
Iteration 13700 completed.
Training loss: 1.98872804642
Training accuracy: 0.4453125
Test loss: 2.1591578722
Test accuracy: 0.4265625
Iteration 13800 completed.
Training loss: 2.35219430923
Training accuracy: 0.359375
Test loss: 2.09933590889
Test accuracy: 0.415625
Iteration 13900 completed.
Training loss: 2.23851299286
Training accuracy: 0.4140625
Test loss: 2.13614788055
Test accuracy: 0.4375
Iteration 14000 completed.
Training loss: 2.0676779747
Training accuracy: 0.46875
Test loss: 2.09971027374
Test accuracy: 0.4390625
Iteration 14100 completed.
Training loss: 2.04283499718
Training accuracy: 0.4921875
Test loss: 2.07013747692
Test accuracy: 0.440625
Iteration 14200 completed.
Training loss: 2.19540977478
Training accuracy: 0.34375
Test loss: 2.26158676147
Test accuracy: 0.4015625
Iteration 14300 completed.
Training loss: 2.41984891891
Training accuracy: 0.359375
Test loss: 2.14067645073
Test accuracy: 0.44375
Iteration 14400 completed.
Training loss: 2.09988713264
Training accuracy: 0.484375
Test loss: 2.12178616524
Test accuracy: 0.4484375
Iteration 14500 completed.
Training loss: 2.30574345589
Training accuracy: 0.421875
Test loss: 2.19033107758
Test accuracy: 0.415625
Iteration 14600 completed.
Training loss: 2.07852983475
Training accuracy: 0.4140625
Test loss: 2.1206079483
Test accuracy: 0.45
Iteration 14700 completed.
Training loss: 2.31473016739
Training accuracy: 0.375
Test loss: 2.11128358841
Test accuracy: 0.4453125
Iteration 14800 completed.
Training loss: 1.98046576977
Training accuracy: 0.4375
Test loss: 2.14392967224
Test accuracy: 0.4203125
Iteration 14900 completed.
Training loss: 2.17807340622
Training accuracy: 0.421875
Test loss: 2.14554867744
Test accuracy: 0.4390625
Iteration 15000 completed.
Training loss: 2.08421969414
Training accuracy: 0.484375
Test loss: 2.12229824066
Test accuracy: 0.4375
Iteration 15100 completed.
Training loss: 1.91327238083
Training accuracy: 0.4296875
Test loss: 2.2357963562
Test accuracy: 0.4125
Iteration 15200 completed.
Training loss: 2.18361902237
Training accuracy: 0.421875
Test loss: 2.13469705582
Test accuracy: 0.41875
Iteration 15300 completed.
Training loss: 1.93514120579
Training accuracy: 0.5078125
Test loss: 2.05531244278
Test accuracy: 0.44375
Iteration 15400 completed.
Training loss: 2.10542154312
Training accuracy: 0.4609375
Test loss: 2.1728279829
Test accuracy: 0.4125
Iteration 15500 completed.
Training loss: 2.19266080856
Training accuracy: 0.421875
Test loss: 2.11745824814
Test accuracy: 0.4421875
Iteration 15600 completed.
Training loss: 2.03886294365
Training accuracy: 0.4453125
Test loss: 2.20536599159
Test accuracy: 0.4265625
Iteration 15700 completed.
Training loss: 2.17378997803
Training accuracy: 0.40625
Test loss: 2.11491291523
Test accuracy: 0.434375
Iteration 15800 completed.
Training loss: 2.04492473602
Training accuracy: 0.4375
Test loss: 2.11789007187
Test accuracy: 0.440625
Iteration 15900 completed.
Training loss: 2.09534168243
Training accuracy: 0.484375
Test loss: 2.13626849651
Test accuracy: 0.4203125
Iteration 16000 completed.
Training loss: 1.95786547661
Training accuracy: 0.46875
Test loss: 2.0794719696
Test accuracy: 0.4421875
Iteration 16100 completed.
Training loss: 1.81808257103
Training accuracy: 0.5546875
Test loss: 2.14596219063
Test accuracy: 0.4265625
Iteration 16200 completed.
Training loss: 2.11532258987
Training accuracy: 0.4453125
Test loss: 2.12137384415
Test accuracy: 0.43125
Iteration 16300 completed.
Training loss: 2.33098697662
Training accuracy: 0.390625
Test loss: 1.96551890373
Test accuracy: 0.4859375
Iteration 16400 completed.
Training loss: 1.96869087219
Training accuracy: 0.4765625
Test loss: 2.09505903721
Test accuracy: 0.4796875
Iteration 16500 completed.
Training loss: 2.11779284477
Training accuracy: 0.46875
Test loss: 2.19769454002
Test accuracy: 0.434375
Iteration 16600 completed.
Training loss: 1.79110717773
Training accuracy: 0.5
Test loss: 1.96216454506
Test accuracy: 0.475
Iteration 16700 completed.
Training loss: 2.14101004601
Training accuracy: 0.5
Test loss: 2.08033308983
Test accuracy: 0.4328125
Iteration 16800 completed.
Training loss: 1.98335969448
Training accuracy: 0.453125
Test loss: 2.10635085106
Test accuracy: 0.4375
Iteration 16900 completed.
Training loss: 2.09545993805
Training accuracy: 0.46875
Test loss: 2.13039262295
Test accuracy: 0.4078125
Iteration 17000 completed.
Training loss: 1.93700623512
Training accuracy: 0.4609375
Test loss: 2.13117322922
Test accuracy: 0.4140625
Iteration 17100 completed.
Training loss: 2.05085158348
Training accuracy: 0.4140625
Test loss: 2.02909665108
Test accuracy: 0.4375
Iteration 17200 completed.
Training loss: 1.85105752945
Training accuracy: 0.46875
Test loss: 2.26162004471
Test accuracy: 0.4203125
Iteration 17300 completed.
Training loss: 1.86650824547
Training accuracy: 0.5
Test loss: 2.24441366196
Test accuracy: 0.4109375
Iteration 17400 completed.
Training loss: 1.88424086571
Training accuracy: 0.4921875
Test loss: 1.96776037216
Test accuracy: 0.459375
Iteration 17500 completed.
Training loss: 1.78925967216
Training accuracy: 0.5546875
Test loss: 2.10576326847
Test accuracy: 0.440625
Iteration 17600 completed.
Training loss: 1.8218255043
Training accuracy: 0.53125
Test loss: 2.16145091057
Test accuracy: 0.43125
Iteration 17700 completed.
Training loss: 2.23119544983
Training accuracy: 0.453125
Test loss: 2.14907093048
Test accuracy: 0.3984375
Iteration 17800 completed.
Training loss: 1.86762595177
Training accuracy: 0.4921875
Test loss: 2.14319140911
Test accuracy: 0.425
Iteration 17900 completed.
Training loss: 1.66482806206
Training accuracy: 0.5625
Test loss: 2.04790372849
Test accuracy: 0.425
Iteration 18000 completed.
Training loss: 2.08019948006
Training accuracy: 0.453125
Test loss: 2.14424862862
Test accuracy: 0.425
Iteration 18100 completed.
Training loss: 1.8935956955
Training accuracy: 0.4453125
Test loss: 2.10077724457
Test accuracy: 0.4421875
Iteration 18200 completed.
Training loss: 1.93902552128
Training accuracy: 0.5078125
Test loss: 2.06338801384
Test accuracy: 0.4703125
Iteration 18300 completed.
Training loss: 1.7646459341
Training accuracy: 0.4921875
Test loss: 1.95065026283
Test accuracy: 0.4640625
Iteration 18400 completed.
Training loss: 2.05439090729
Training accuracy: 0.4453125
Test loss: 2.0682199955
Test accuracy: 0.44375
Iteration 18500 completed.
Training loss: 1.99039435387
Training accuracy: 0.515625
Test loss: 2.20828032494
Test accuracy: 0.434375
Iteration 18600 completed.
Training loss: 1.93976330757
Training accuracy: 0.453125
Test loss: 2.10925135612
Test accuracy: 0.465625
Iteration 18700 completed.
Training loss: 2.24303746223
Training accuracy: 0.46875
Test loss: 2.18532004356
Test accuracy: 0.4265625
Iteration 18800 completed.
Training loss: 2.25514531136
Training accuracy: 0.40625
Test loss: 2.16532721519
Test accuracy: 0.4140625
Iteration 18900 completed.
Training loss: 2.20644569397
Training accuracy: 0.375
Test loss: 2.10340781212
Test accuracy: 0.4171875
Iteration 19000 completed.
Training loss: 1.7167930603
Training accuracy: 0.4765625
Test loss: 2.04287748337
Test accuracy: 0.475
Iteration 19100 completed.
Training loss: 1.88387584686
Training accuracy: 0.5
Test loss: 2.122742486
Test accuracy: 0.4484375
Iteration 19200 completed.
Training loss: 2.06888008118
Training accuracy: 0.4609375
Test loss: 2.12097594738
Test accuracy: 0.446875
Iteration 19300 completed.
Training loss: 1.94858884811
Training accuracy: 0.46875
Test loss: 2.10181891918
Test accuracy: 0.446875
Iteration 19400 completed.
Training loss: 1.90475106239
Training accuracy: 0.4765625
Test loss: 2.17216949463
Test accuracy: 0.440625
Iteration 19500 completed.
Training loss: 1.74596595764
Training accuracy: 0.5546875
Test loss: 2.12145376205
Test accuracy: 0.4390625
Iteration 19600 completed.
Training loss: 2.06518483162
Training accuracy: 0.453125
Test loss: 2.11805763245
Test accuracy: 0.4140625
Iteration 19700 completed.
Training loss: 1.97937238216
Training accuracy: 0.453125
Test loss: 2.06493663788
Test accuracy: 0.4390625
Iteration 19800 completed.
Training loss: 1.93171811104
Training accuracy: 0.46875
Test loss: 2.03584976196
Test accuracy: 0.459375
Iteration 19900 completed.
Training loss: 1.85219240189
Training accuracy: 0.46875
Test loss: 2.11944344044
Test accuracy: 0.453125
Iteration 20000 completed.
Training loss: 1.68535995483
Training accuracy: 0.515625
Test loss: 2.04392495155
Test accuracy: 0.4609375
Iteration 20100 completed.
Training loss: 1.90492534637
Training accuracy: 0.4296875
Test loss: 1.98906254768
Test accuracy: 0.4640625
Iteration 20200 completed.
Training loss: 1.68584799767
Training accuracy: 0.5546875
Test loss: 1.93403732777
Test accuracy: 0.4953125
Iteration 20300 completed.
Training loss: 1.98212885857
Training accuracy: 0.4921875
Test loss: 2.06019263268
Test accuracy: 0.4390625
Iteration 20400 completed.
Training loss: 1.74039435387
Training accuracy: 0.4921875
Test loss: 1.88188533783
Test accuracy: 0.4921875
Iteration 20500 completed.
Training loss: 1.5411324501
Training accuracy: 0.5703125
Test loss: 1.99136798382
Test accuracy: 0.475
Iteration 20600 completed.
Training loss: 1.55859231949
Training accuracy: 0.53125
Test loss: 2.03338990211
Test accuracy: 0.4703125
Iteration 20700 completed.
Training loss: 1.97619330883
Training accuracy: 0.484375
Test loss: 2.0493834734
Test accuracy: 0.4828125
Iteration 20800 completed.
Training loss: 1.69144487381
Training accuracy: 0.546875
Test loss: 1.91904299259
Test accuracy: 0.490625
Iteration 20900 completed.
Training loss: 1.71021330357
Training accuracy: 0.5234375
Test loss: 1.9710631609
Test accuracy: 0.48125
Iteration 21000 completed.
Training loss: 1.31830883026
Training accuracy: 0.6328125
Test loss: 1.93577504158
Test accuracy: 0.4859375
Iteration 21100 completed.
Training loss: 1.48160338402
Training accuracy: 0.5546875
Test loss: 1.94491302967
Test accuracy: 0.5
Iteration 21200 completed.
Training loss: 1.35289525986
Training accuracy: 0.5625
Test loss: 1.90156273842
Test accuracy: 0.525
Iteration 21300 completed.
Training loss: 1.73078036308
Training accuracy: 0.484375
Test loss: 2.00648639202
Test accuracy: 0.4875
Iteration 21400 completed.
Training loss: 1.70887696743
Training accuracy: 0.5703125
Test loss: 1.94464349747
Test accuracy: 0.496875
Iteration 21500 completed.
Training loss: 1.43264341354
Training accuracy: 0.5546875
Test loss: 1.93450272083
Test accuracy: 0.46875
